FID_,RTE_CN,BMP,EMP,ID,NAME,SYMBOL_NAM,SYMBOL_COD,SEG_LENGTH,JURISDICTI,SYSTEM,ROUTE_STAT,OPER_MAINT,OBJECTIVE_,FUNCTIONAL,SURFACE_TY,LANES,PRIMARY_MA,COUNTY,CONGRESSIO,ADMIN_ORG,SERVICE_LI,LEVEL_OF_S,PFSR_CLASS,MANAGING_O,LOC_ERROR,GIS_MILES,SECURITY_I,SHAPE_LEN
,218410349,4.5,5.067,599,SOAP GULCH,"Dirt Road, Suitable for Passenger Car",515,0.567,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - SILVER BOW,MT - 01,10204,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10204,NO ERROR,0,102,0.009462941
,194710349,0,2.315,96,DIVIDE CR,"Gravel Road, Suitable for Passenger Car",518,2.315,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,4 - MODERATE DEGREE OF USER COMFORT,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - SILVER BOW,MT - 01,10204,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10204,NO ERROR,0,102,0.047089196
,237710349,0,1.767,5141,MEADOW CREEK,"Dirt Road, Suitable for Passenger Car",515,1.767,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - GRANITE,MT - 01,10208,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10208,NO ERROR,0,102,0.031627253
,17910349,0,5.1103,2465,LOWER ELKHORN MINE,"Dirt Road, Suitable for Passenger Car",515,5.1103,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,L - LOCAL,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10202,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10202,NO ERROR,0,102,0.085223634
,216910349,0.5,7.7324,406,GEORGETOWN LAKE,Paved Road,517,7.2324,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,5 - HIGH DEGREE OF USER COMFORT,5 - HIGH DEGREE OF USER COMFORT,C - COLLECTOR,BST - BITUMINOUS SURFACE TREATMENT,2 - DOUBLE LANE,FS - FOREST SERVICE,MT - GRANITE,MT - 01,10208,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10208,PARTIAL MATCH FOR THE TO-MEASURE,0,102,0.125288193
,221210349,7.462,8.755,707,DOUGLAS CR,"Dirt Road, Suitable for Passenger Car",515,1.293,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - GRANITE,MT - 01,10208,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10208,NO ERROR,0,102,0.024707258
,96010349,10.613,12.1035,2480,JIMMIE NEW,"Dirt Road, Suitable for Passenger Car",515,1.4905,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - SILVER BOW,MT - 01,10202,C - LONG TERM SERVICE,J - SLOW FLOW OR MAY BE BLOCKED <400 ADT,FLTP NETWORK - PROPOSED,10202,PARTIAL MATCH FOR THE TO-MEASURE,0,102,0.02487755
,96010349,0,1.9,2480,JIMMIE NEW,"Dirt Road, Suitable for Passenger Car",515,1.9,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - SILVER BOW,MT - 01,10202,C - LONG TERM SERVICE,"I - FLOW INTERRUPTED,USE LIMITED<400 ADT",FLTP NETWORK - PROPOSED,10202,NO ERROR,0,102,0.030607733
,195710349,8.585,10,84,HIGHLAND,"Dirt Road, Suitable for Passenger Car",515,1.415,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,4 - MODERATE DEGREE OF USER COMFORT,A - ARTERIAL,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - SILVER BOW,MT - 01,10204,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10204,NO ERROR,0,102,0.028314777
,10610349,3.5,4.5,90,STEEL CREEK,"Gravel Road, Suitable for Passenger Car",518,1,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10203,C - LONG TERM SERVICE,"I - FLOW INTERRUPTED,USE LIMITED<400 ADT",FLTP NETWORK - PROPOSED,10203,NO ERROR,0,102,0.020190575
,252010349,4.9,9.4701,8520,HIGHLAND CONN,"Dirt Road, Suitable for Passenger Car",515,4.5701,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - SILVER BOW,MT - 01,10204,C - LONG TERM SERVICE,J - SLOW FLOW OR MAY BE BLOCKED <400 ADT,FLTP NETWORK - PROPOSED,10204,PARTIAL MATCH FOR THE TO-MEASURE,0,102,0.075234442
,218710349,0,5.18,677,WYMAN GULCH,"Gravel Road, Suitable for Passenger Car",518,5.18,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - GRANITE,MT - 01,10208,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10208,NO ERROR,0,102,0.087843863
,279510349,9.8,10.6737,381,SKINNER MEADOWS,"Gravel Road, Suitable for Passenger Car",518,0.8737,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10203,C - LONG TERM SERVICE,J - SLOW FLOW OR MAY BE BLOCKED <400 ADT,FLTP NETWORK - PROPOSED,10203,PARTIAL MATCH FOR THE TO-MEASURE,0,102,0.013656861
,5310349,4.9,9.8,187,CANYON CR-QUARTZ HILL,"Dirt Road, Suitable for Passenger Car",515,4.9,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10202,C - LONG TERM SERVICE,J - SLOW FLOW OR MAY BE BLOCKED <400 ADT,FLTP NETWORK - PROPOSED,10202,NO ERROR,0,102,0.091683989
,105510349,0.565,2.238,1260,GIBBONS PASS,"Dirt Road, Suitable for Passenger Car",515,1.673,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10203,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10203,NO ERROR,0,102,0.028439798
,119510349,0,10.1536,943,RUBY-BUTLER,"Dirt Road, Suitable for Passenger Car",515,10.1536,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,A - ARTERIAL,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10203,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10203,PARTIAL MATCH FOR THE TO-MEASURE,0,102,0.176939138
,5310349,9.8,13.8,187,CANYON CR-QUARTZ HILL,"Gravel Road, Suitable for Passenger Car",518,4,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10202,C - LONG TERM SERVICE,"I - FLOW INTERRUPTED,USE LIMITED<400 ADT",FLTP NETWORK - PROPOSED,10202,NO ERROR,0,102,0.069197423
,6210349,2.7,4.2,220,HUNTER CREEK,"Dirt Road, Suitable for Passenger Car",515,1.5,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10201,C - LONG TERM SERVICE,"I - FLOW INTERRUPTED,USE LIMITED<400 ADT",FLTP NETWORK - PROPOSED,10201,NO ERROR,0,102,0.028030442
,112110349,0,0.6,1079,SHINEBERGER,"Dirt Road, Suitable for Passenger Car",515,0.6,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10201,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10201,NO ERROR,0,102,0.009218241
,114210349,4,11.1162,1208,JOHNSON CR,"Dirt Road, Suitable for Passenger Car",515,7.1162,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - SILVER BOW,MT - 01,10202,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10202,NO ERROR,0,102,0.11869346
,56410349,0,5.635,8200,WILLOW CREEK,"Dirt Road, Suitable for Passenger Car",515,5.635,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10201,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10201,NO ERROR,0,102,0.097436406
,2310349,0,8.07,624,GIBBONSVILLE,"Dirt Road, Suitable for Passenger Car",515,8.07,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10203,C - LONG TERM SERVICE,"I - FLOW INTERRUPTED,USE LIMITED<400 ADT",FLTP NETWORK - PROPOSED,10203,NO ERROR,0,102,0.154178242
,77610349,0.52,1.26,7345,RAINY MTN,"Dirt Road, Suitable for Passenger Car",515,0.74,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,L - LOCAL,NAT - NATIVE MATERIAL,2 - DOUBLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10201,C - LONG TERM SERVICE, ,FLTP NETWORK - SUBSET 1,10201,NO ERROR,0,102,0.013199269
,104110349,8.1,9.7,2400,BLACK MOUNTAIN,"Dirt Road, Suitable for Passenger Car",515,1.6,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10201,C - LONG TERM SERVICE,J - SLOW FLOW OR MAY BE BLOCKED <400 ADT,FLTP NETWORK - PROPOSED,10201,NO ERROR,0,102,0.028463184
,236510349,11.25,15.627,5106,MIDDLE FORK,"Dirt Road, Suitable for Passenger Car",515,4.377,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,4 - MODERATE DEGREE OF USER COMFORT,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - GRANITE,MT - 01,10208,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10208,NO ERROR,0,102,0.067257083
,220310349,9.5,10,672,EAST FORK CR,"Dirt Road, Suitable for Passenger Car",515,0.5,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,4 - MODERATE DEGREE OF USER COMFORT,A - ARTERIAL,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - GRANITE,MT - 01,10208,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10208,NO ERROR,0,102,0.008039718
,4910349,47.8,50.5,290,GRAVELLY RANGE,"Gravel Road, Suitable for Passenger Car",518,2.7,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,IMP - IMPROVED NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10206,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10206,NO ERROR,0,102,0.045385521
,4910349,14.6,15.69,290,GRAVELLY RANGE,"Gravel Road, Suitable for Passenger Car",518,1.09,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - MADISON,MT - 01,10206,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10206,NO ERROR,0,102,0.017157293
,4910349,14.38,14.6,290,GRAVELLY RANGE,"Gravel Road, Suitable for Passenger Car",518,0.22,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,IMP - IMPROVED NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - MADISON,MT - 01,10206,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10206,NO ERROR,0,102,0.003344126
,120510349,0,8.4942,945,FOOTHILL,"Gravel Road, Suitable for Passenger Car",518,8.4942,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,2 - DOUBLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10203,C - LONG TERM SERVICE,"I - FLOW INTERRUPTED,USE LIMITED<400 ADT",FLTP NETWORK - PROPOSED,10203,PARTIAL MATCH FOR THE TO-MEASURE,0,102,0.130881942
,105010349,0,10.0419,1279,FISHTRAP,"Dirt Road, Suitable for Passenger Car",515,10.0419,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - DEER LODGE,MT - 01,10202,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10202,PARTIAL MATCH FOR THE TO-MEASURE,0,102,0.185644063
,220510349,0,6.44,675,STORM LAKE,"Gravel Road, Suitable for Passenger Car",518,6.44,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - DEER LODGE,MT - 01,10208,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10208,NO ERROR,0,102,0.106999593
,220310349,4.186,9.5,672,EAST FORK CR,"Gravel Road, Suitable for Passenger Car",518,5.314,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,4 - MODERATE DEGREE OF USER COMFORT,A - ARTERIAL,AGG - CRUSHED AGGREGATE OR GRAVEL,2 - DOUBLE LANE,FS - FOREST SERVICE,MT - GRANITE,MT - 01,10208,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10208,NO ERROR,0,102,0.089783604
,220310349,4.1,4.186,672,EAST FORK CR,"Gravel Road, Suitable for Passenger Car",518,0.086,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,4 - MODERATE DEGREE OF USER COMFORT,A - ARTERIAL,AGG - CRUSHED AGGREGATE OR GRAVEL,2 - DOUBLE LANE,FS - FOREST SERVICE,MT - GRANITE,MT - 01,10208,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10208,NO ERROR,0,102,0.001628855
,195710349,2.871,7.5,84,HIGHLAND,"Gravel Road, Suitable for Passenger Car",518,4.629,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,4 - MODERATE DEGREE OF USER COMFORT,A - ARTERIAL,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - SILVER BOW,MT - 01,10204,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10204,NO ERROR,0,102,0.078816035
,5810349,0,0.9,192,RATTLESNAKE CREEK,"Dirt Road, Suitable for Passenger Car",515,0.9,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,2 - DOUBLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10201,C - LONG TERM SERVICE,H - CONGESTED WHEN HEAVY TRAFFIC<400 ADT,FLTP NETWORK - PROPOSED,10201,NO ERROR,0,102,0.017670567
,214810349,0,2.6,240,RADER CREEK,"Dirt Road, Suitable for Passenger Car",515,2.6,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,4 - MODERATE DEGREE OF USER COMFORT,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - JEFFERSON,MT - 01,10207,C - LONG TERM SERVICE,J - SLOW FLOW OR MAY BE BLOCKED <400 ADT,FLTP NETWORK - PROPOSED,10207,NO ERROR,0,102,0.045289262
